,month,day_of_month,day_of_week,neighborhood,hour,normalized_imbalance,hour_group
385,7,2,5,Upper West Side,22,-0.00701139351446,night
386,7,2,5,Upper West Side,23,0.0131463628396,night
387,7,2,5,Upper West Side,4,-0.00175284837862,night
388,7,2,5,Greenwich Village and Soho,0,-0.00171232876712,night
389,7,2,5,Greenwich Village and Soho,1,0.00941780821918,night
390,7,2,5,Greenwich Village and Soho,2,0.00428082191781,night
391,7,2,5,Greenwich Village and Soho,3,0.000856164383562,night
392,7,2,5,Greenwich Village and Soho,4,0.00599315068493,night
393,7,2,5,Greenwich Village and Soho,5,0.00171232876712,night
394,7,2,5,Greenwich Village and Soho,6,0.00256849315068,7
395,7,2,5,Greenwich Village and Soho,7,-0.0154109589041,7
396,7,2,5,Greenwich Village and Soho,8,-0.0162671232877,8
397,7,2,5,Greenwich Village and Soho,9,-0.00684931506849,9
398,7,2,5,Greenwich Village and Soho,10,-0.0171232876712,10-16
399,7,2,5,Greenwich Village and Soho,11,-0.0188356164384,10-16
400,7,2,5,Greenwich Village and Soho,12,-0.0308219178082,10-16
401,7,2,5,Greenwich Village and Soho,13,-0.00256849315068,10-16
402,7,2,5,Greenwich Village and Soho,14,-0.0496575342466,10-16
403,7,2,5,Greenwich Village and Soho,15,-0.00256849315068,10-16
404,7,2,5,Greenwich Village and Soho,16,-0.0291095890411,10-16
405,7,2,5,Greenwich Village and Soho,17,0.0119863013699,17
406,7,2,5,Greenwich Village and Soho,18,0.0325342465753,18
407,7,2,5,Greenwich Village and Soho,19,-0.00856164383562,19
408,7,2,5,Greenwich Village and Soho,20,-0.0154109589041,20
409,7,2,5,Greenwich Village and Soho,21,-0.0265410958904,21
410,7,2,5,Greenwich Village and Soho,22,0.00941780821918,night
411,7,2,5,Greenwich Village and Soho,23,0.0128424657534,night
412,7,2,5,Northwest Brooklyn,0,-0.00135464643728,night
413,7,2,5,Northwest Brooklyn,1,-0.00108371714982,night
414,7,2,5,Northwest Brooklyn,2,-0.000270929287456,night
415,7,2,5,Northwest Brooklyn,3,-0.000812787862368,night
416,7,2,5,Northwest Brooklyn,4,0.0,night
417,7,2,5,Northwest Brooklyn,6,0.0,7
418,7,2,5,Northwest Brooklyn,7,0.00135464643728,7
419,7,2,5,Northwest Brooklyn,8,0.00108371714982,8
420,7,2,5,Northwest Brooklyn,9,0.000812787862368,9
421,7,2,5,Northwest Brooklyn,10,0.00704416147386,10-16
422,7,2,5,Northwest Brooklyn,11,0.00325115144947,10-16
423,7,2,5,Northwest Brooklyn,12,0.00894066648605,10-16
424,7,2,5,Northwest Brooklyn,13,-0.00975345434842,10-16
425,7,2,5,Northwest Brooklyn,14,-0.00460579788675,10-16
426,7,2,5,Northwest Brooklyn,15,-0.00189650501219,10-16
427,7,2,5,Northwest Brooklyn,16,-0.00839880791114,10-16
428,7,2,5,Northwest Brooklyn,17,-0.0100243836359,17
429,7,2,5,Northwest Brooklyn,18,0.00108371714982,18
430,7,2,5,Northwest Brooklyn,19,0.0,19
431,7,2,5,Northwest Brooklyn,20,0.00270929287456,20
432,7,2,5,Northwest Brooklyn,21,-0.0024383635871,21
433,7,2,5,Northwest Brooklyn,22,-0.00270929287456,night
434,7,2,5,Northwest Brooklyn,23,-0.000541858574912,night
435,7,2,5,Northwest Brooklyn,5,-0.000270929287456,night
436,7,2,5,Northwest Queens,0,0.00262467191601,night
437,7,2,5,Northwest Queens,1,0.00262467191601,night
438,7,2,5,Northwest Queens,2,-0.00262467191601,night
439,7,2,5,Northwest Queens,3,0.00262467191601,night
440,7,2,5,Northwest Queens,4,0.00262467191601,night
441,7,2,5,Northwest Queens,5,0.0,night
442,7,2,5,Northwest Queens,6,0.0,7
443,7,2,5,Northwest Queens,7,0.00787401574803,7
444,7,2,5,Northwest Queens,8,-0.0157480314961,8
445,7,2,5,Northwest Queens,9,0.0209973753281,9
446,7,2,5,Northwest Queens,10,0.0209973753281,10-16
447,7,2,5,Northwest Queens,11,-0.0236220472441,10-16
448,7,2,5,Northwest Queens,12,0.0183727034121,10-16
449,7,2,5,Northwest Queens,13,0.00262467191601,10-16
